,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
10663,104827,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10664,104828,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10665,104829,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10666,104830,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10667,104831,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10668,104832,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10669,104833,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10670,104834,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10671,104835,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10672,104836,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10673,104837,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10674,104838,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10675,104839,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10676,104840,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10677,104841,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10678,104842,2018,BOS,4,[1],['JEFF SHEEHY']
10679,104843,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10680,104844,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10681,104845,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10682,104847,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10683,104848,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10684,104849,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10685,104850,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10686,104851,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10687,104852,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10688,104853,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10689,104854,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10690,104855,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10691,104856,2018,BOS,4,"[1, 2, 3]","[""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10692,104857,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10693,104858,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10694,104859,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10695,104860,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10696,104861,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10697,104862,2018,BOS,4,[1],['JEFF SHEEHY']
10698,104863,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10699,104866,2018,BOS,4,[1],['JEFF SHEEHY']
10700,104867,2018,BOS,4,[1],['JEFF SHEEHY']
10701,104868,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10702,104869,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10703,104870,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10704,104871,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10705,104872,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
10706,104873,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10707,104874,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10708,104876,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
10709,104878,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10710,104879,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10711,104880,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10712,104881,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10713,104882,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10714,104883,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10715,104884,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10716,104885,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10717,104886,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10718,104887,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10719,104888,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10720,104889,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10721,104890,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10722,104891,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10723,104892,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10724,104893,2018,BOS,4,"[1, 3]","[""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10725,104896,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10726,104897,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10727,104900,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10728,104901,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10729,104902,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10730,104903,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10731,104904,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10732,104905,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10733,104906,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10734,104907,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10735,104908,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10736,104909,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10737,104910,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10738,104911,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10739,104912,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
